distrito;inep;unidade_escolar;creche;pre_escola;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano;eja_ai;eja_af
1;23074876;E.M. MOURA BRASIL;55;62;42;25;55;65;34;87;77;76;58;0;0
1;23245379;E.M. NOSSA SENHORA APARECIDA;73;68;36;35;47;47;48;0;0;0;0;0;0
1;23255889;E.M. NOSSA SENHORA DO PERPETUO SOCORRO;0;0;0;0;0;0;0;253;258;224;217;0;0
1;23272716;E.M. PATATIVA DO ASSARE;56;115;91;103;128;135;134;0;0;0;0;0;0
1;23072504;E.M. PROF.? JOSE PARSIFAL BARROSO;0;0;0;0;0;0;0;147;188;153;112;0;0
1;23072520;E.M. PROF.? JOSE REBOUCAS MACAMBIRA;81;119;0;0;33;68;67;152;202;183;161;0;75
1;23076682;E.M. QUINTINO CUNHA;0;0;66;77;159;162;132;0;0;0;0;0;0
1;23255960;E.M. RACHEL DE QUEIROZ;133;228;133;107;124;0;0;0;0;0;0;0;0
1;23255951;E.M. RAIMUNDO DE SOUSA MANGUEIRA;55;0;87;69;115;98;124;0;0;0;0;0;0
1;23263318;E.M. REITOR PEDRO TEIXEIRA BARROSO;0;0;0;0;0;0;0;149;217;226;200;0;0
1;23069198;E.M. SANTA TEREZA;57;0;0;47;26;94;132;100;0;0;0;0;0
1;23067756;E.M. SAO CURA DARS;71;116;90;83;91;99;68;0;0;0;0;0;0
1;23269170;E.M. SAO RAFAEL;19;43;23;25;27;29;34;132;137;87;35;0;0
1;23077450;E.M. SEBASTIANA ALDIGUERI;110;0;0;0;0;0;0;108;170;179;175;0;0
1;23547987;E.M. SECRETARIO PAULO PETROLA;185;0;0;0;0;110;115;127;154;146;109;0;0
1;23311614;E.M. TERTULIANO CAMBRAIA;119;334;137;56;0;0;0;0;0;0;0;0;0
1;23256044;E.M. VIRGILIO TAVORA;108;221;90;74;66;0;0;0;0;0;0;0;0
2;23064994;E.M. ALMERINDA DE ALBUQUERQUE;147;71;45;67;78;94;90;0;0;0;0;25;59
2;23065052;E.M. ALVORADA;118;155;110;104;0;0;0;0;0;0;0;0;0
2;23067330;E.M. COLONIA Z-8;0;88;44;56;60;62;68;0;0;0;0;0;0
2;23264810;EMTI AMBIENTAL DRA FRANCISCA DE ASSIS C. DA FROTA;0;32;42;51;55;64;56;0;0;0;0;0;0
2;23065028;EMTI PROF.? ALVARO COSTA;0;0;0;0;0;0;0;76;127;112;94;0;0
2;23069317;EMTI PROF.? ANTONIETA CALS;53;32;0;0;0;0;0;114;148;111;56;0;0
2;23547995;E.M. DOM ALOISIO LORSCHEIDER;75;107;58;55;54;77;66;142;137;175;127;0;74
2;23068302;E.M. ELEAZAR DE CARVALHO;0;93;61;54;88;80;68;0;0;0;0;0;0
2;23250275;E.M. FREI AGOSTINHO FERNANDES;79;96;64;56;58;51;65;0;0;0;0;0;0
2;23186160;E.M. FREI TITO DE ALENCAR LIMA;93;172;106;91;98;108;99;112;151;142;109;0;63
2;23257369;E.M. GODOFREDO DE CASTRO FILHO;40;122;65;82;73;83;81;147;110;115;60;98;94
2;23077611;E.M. IRMA SIMAS;0;0;0;38;144;154;131;0;0;0;0;32;73
2;23274034;E.M. JOHNSON;0;0;0;0;0;0;0;190;232;227;191;0;0
2;23257482;E.M. JOSE CARLOS DE PINHO;40;75;65;40;69;77;92;0;0;0;0;0;0
2;23072350;E.M. JOSE DIAS MACEDO;107;113;46;46;61;50;62;0;0;0;0;22;63
2;23072512;E.M. JOSE RAMOS TORRES DE MELO;152;0;0;0;0;0;0;195;298;263;267;0;38
2;23233729;E.M. LUIS ANGELO PEREIRA;94;239;46;76;0;0;0;0;0;0;0;0;0
2;23270560;E.M. MARIA ALICE;141;81;124;100;97;95;65;0;0;0;0;0;0
2;23198818;E.M. MARIA FELICIO LOPES;116;180;89;78;78;88;90;182;143;321;253;0;0
2;23257393;E.M. NOSSA SENHORA DO SAGRADO CORACAO;80;146;57;39;49;49;42;0;0;0;0;0;0
2;23250631;E.M. PROF.? ERNESTO GURGEL;73;134;64;64;68;66;67;76;136;76;95;0;0
2;23070048;E.M. PROF.? FRANCISCO MAURICIO DE M. DOURADO;215;229;160;118;131;161;136;0;0;0;0;52;74
2;23187840;E.M. PROF.? LUIS COSTA;111;183;84;80;63;67;68;0;0;0;0;0;0
2;23325216;E.M. PROF.? MANUEL EDUARDO PINHEIRO CAMPOS;83;74;34;56;46;56;68;91;99;85;78;0;0
2;23074779;E.M. PROF.? MONTEIRO DE MORAES;235;211;138;106;118;121;129;0;0;0;0;32;107
2;23064854;E.M. PROF.? AIDA SANTOS E SILVA;131;143;90;102;124;98;120;0;0;0;0;0;0
2;23064927;E.M. PROF.? ALDACI BARBOSA;0;0;0;0;0;0;0;250;297;345;279;0;0
2;23065958;E.M. PROF.? BELARMINA CAMPOS;133;212;110;109;131;132;100;259;263;0;0;26;75
2;23067462;E.M. PROF.? CONSUELO AMORA;0;0;88;81;132;156;133;0;0;0;0;30;70
2;23256559;E.M. PROF.? JOSEFINA PARENTE DE ARAUJO;40;114;62;36;51;31;33;0;0;0;0;0;0
2;23073608;E.M. PROF.? MARIA GONDIM DOS SANTOS;88;158;23;52;53;61;66;128;114;128;56;28;141
2;23264152;E.M. PROF.? MARIA ODNILRA CRUZ MOREIRA;139;264;173;136;161;123;158;150;0;0;0;0;73
2;23257440;E.M. SAO VICENTE DE PAULO;75;86;67;56;91;87;66;0;0;0;0;0;0
2;23078596;E.M. WASHINGTON SOARES;0;0;0;0;0;0;0;89;125;89;69;0;0
3;23067934;E.M. ADROALDO TEIXEIRA CASTELO;58;213;142;122;127;157;159;0;0;0;0;56;73
3;23065397;E.M. ANTONIO SALES;95;134;66;49;61;67;67;0;0;0;0;0;0
